iter	Passed	Remaining
900	61075	210069
901	61149	210023
902	61221	209969
903	61292	209911
904	61360	209845
905	61427	209776
906	61499	209721
907	61568	209656
908	61635	209587
909	61702	209518
910	61768	209443
911	61841	209392
912	61908	209324
913	61978	209262
914	62047	209197
915	62119	209143
916	62186	209073
917	62257	209017
918	62327	208956
919	62394	208886
920	62462	208817
921	62530	208751
922	62600	208691
923	62674	208642
924	62743	208578
925	62809	208504
926	62875	208433
927	62943	208365
928	63013	208305
929	63082	208241
930	63150	208172
931	63219	208110
932	63289	208048
933	63359	207988
934	63426	207916
935	63493	207845
936	63563	207786
937	63636	207735
938	63707	207677
939	63779	207624
940	63850	207565
941	63921	207508
942	63993	207451
943	64063	207392
944	64131	207326
945	64201	207263
946	64269	207196
947	64339	207135
948	64409	207072
949	64477	207007
950	64546	206942
951	64614	206875
952	64685	206818
953	64753	206750
954	64824	206691
955	64889	206616
956	64952	206530
957	65018	206456
958	65085	206387
959	65159	206337
960	65231	206282
961	65298	206214
962	65371	206162
963	65443	206106
964	65515	206052
965	65584	205987
966	65655	205927
967	65727	205874
968	65799	205817
969	65868	205754
970	65941	205700
971	66012	205642
972	66084	205589
973	66150	205514
974	66218	205448
975	66288	205385
976	66353	205308
977	66418	205231
978	66490	205177
979	66559	205111
980	66630	205054
981	66704	205004
982	66775	204945
983	66851	204902
984	66920	204836
985	66990	204777
986	67060	204716
987	67131	204655
988	67201	204595
989	67271	204533
990	67340	204467
991	67412	204412
992	67483	204352
993	67554	204293
994	67617	204212
995	67681	204131
996	67755	204081
997	67827	204025
998	67900	203971
999	67970	203911
1000	68043	203857
1001	68107	203778
1002	68170	203695
1003	68242	203638
1004	68315	203588
1005	68384	203520
1006	68454	203461
1007	68527	203407
1008	68602	203360
1009	68673	203300
1010	68743	203240
1011	68810	203166
1012	68883	203114
1013	68949	203041
1014	69016	202969
1015	69087	202911
1016	69160	202857
1017	69233	202803
1018	69306	202749
1019	69374	202681
1020	69440	202607
1021	69509	202543
1022	69582	202488
1023	69650	202423
1024	69723	202368
1025	69793	202307
1026	69865	202249
1027	69940	202200
1028	70012	202146
1029	70087	202095
1030	70159	202041
1031	70233	201987
1032	70305	201933
1033	70376	201873
1034	70440	201793
1035	70503	201711
1036	70570	201638
1037	70636	201566
1038	70710	201514
1039	70783	201460
1040	70854	201400
1041	70926	201345
1042	70999	201289
1043	71070	201229
1044	71140	201167
1045	71208	201098
1046	71273	201021
1047	71340	200952
1048	71406	200877
1049	71475	200812
1050	71547	200754
1051	71621	200702
1052	71694	200649
1053	71766	200592
1054	71839	200538
1055	71914	200490
1056	71986	200432
1057	72058	200374
1058	72131	200318
1059	72202	200258
1060	72269	200188
1061	72337	200119
1062	72400	200038
1063	72465	199960
1064	72530	199884
1065	72596	199809
1066	72661	199733
1067	72730	199667
1068	72801	199609
1069	72877	199560
1070	72947	199499
1071	73019	199441
1072	73088	199376
1073	73163	199326
1074	73234	199265
1075	73304	199203
1076	73372	199133
1077	73444	199075
1078	73509	198999
1079	73573	198920
1080	73636	198839
1081	73701	198763
1082	73769	198693
1083	73841	198636
1084	73910	198571
1085	73980	198506
1086	74045	198430
1087	74115	198368
1088	74182	198296
1089	74247	198219
1090	74315	198150
1091	74379	198073
1092	74445	197999
1093	74510	197922
1094	74577	197851
1095	74641	197772
1096	74706	197697
1097	74772	197621
1098	74836	197544
1099	74903	197472
1100	74968	197396
1101	75034	197324
1102	75099	197247
1103	75161	197163
1104	75227	197090
1105	75293	197014
1106	75361	196947
1107	75427	196874
1108	75494	196802
1109	75559	196727
1110	75624	196649
1111	75689	196575
1112	75755	196501
1113	75822	196429
1114	75887	196353
1115	75951	196277
1116	76019	196206
1117	76085	196134
1118	76149	196055
1119	76215	195983
1120	76279	195905
1121	76343	195825
1122	76409	195753
1123	76474	195677
1124	76539	195599
1125	76605	195528
1126	76670	195453
1127	76739	195385
1128	76805	195313
1129	76871	195239
1130	76934	195159
1131	76997	195078
1132	77061	194999
1133	77125	194921
1134	77190	194847
1135	77255	194771
1136	77323	194702
1137	77392	194636
1138	77455	194556
1139	77519	194477
1140	77585	194405
1141	77650	194330
1142	77714	194253
1143	77780	194179
1144	77847	194108
1145	77912	194032
1146	77977	193958
1147	78041	193880
1148	78106	193804
1149	78172	193731
1150	78238	193658
1151	78304	193585
1152	78369	193510
1153	78432	193431
1154	78497	193354
1155	78562	193279
1156	78633	193219
1157	78700	193148
1158	78765	193075
1159	78831	193001
1160	78895	192924
1161	78961	192851
1162	79025	192774
1163	79092	192703
1164	79159	192632
1165	79226	192561
1166	79292	192489
1167	79357	192414
1168	79422	192338
1169	79488	192266
1170	79555	192195
1171	79625	192133
1172	79692	192062
1173	79756	191986
1174	79824	191918
1175	79891	191848
1176	79956	191773
1177	80023	191703
1178	80087	191626
1179	80153	191552
1180	80218	191477
1181	80285	191409
1182	80352	191338
1183	80415	191259
1184	80480	191182
1185	80544	191107
1186	80608	191030
1187	80675	190958
1188	80741	190886
1189	80805	190808
1190	80869	190732
1191	80935	190659
1192	80998	190581
1193	81063	190506
1194	81126	190426
1195	81190	190349
1196	81255	190275
1197	81319	190198
1198	81383	190120
1199	81446	190042
1200	81511	189966
1201	81575	189890
1202	81641	189817
1203	81706	189743
1204	81772	189671
1205	81840	189603
1206	81907	189534
1207	81972	189460
1208	82038	189386
1209	82100	189305
1210	82166	189234
1211	82232	189162
1212	82300	189094
1213	82365	189020
1214	82431	188947
1215	82494	188869
1216	82561	188799
1217	82626	188724
1218	82691	188650
1219	82755	188573
1220	82819	188496
1221	82886	188426
1222	82951	188353
1223	83018	188284
1224	83085	188214
1225	83150	188140
1226	83215	188066
1227	83280	187990
1228	83348	187923
1229	83411	187846
1230	83475	187769
1231	83540	187694
1232	83607	187625
1233	83670	187545
1234	83738	187479
1235	83804	187406
1236	83868	187331
1237	83931	187252
1238	83998	187183
1239	84063	187108
1240	84127	187033
1241	84198	186973
1242	84262	186895
1243	84327	186822
1244	84391	186745
1245	84457	186673
1246	84522	186599
1247	84590	186533
1248	84658	186464
1249	84726	186398
1250	84790	186322
1251	84857	186252
1252	84925	186184
1253	84989	186110
1254	85054	186035
1255	85121	185965
1256	85186	185891
1257	85251	185817
1258	85316	185743
1259	85382	185672
1260	85449	185603
1261	85518	185537
1262	85583	185465
1263	85647	185389
1264	85709	185307
1265	85776	185239
1266	85843	185170
1267	85909	185099
1268	85976	185029
1269	86043	184958
1270	86109	184887
1271	86174	184813
1272	86242	184748
1273	86308	184676
1274	86370	184596
1275	86434	184521
1276	86498	184444
1277	86566	184376
1278	86628	184298
1279	86696	184229
1280	86759	184152
1281	86827	184085
1282	86892	184011
1283	86958	183939
1284	87025	183871
1285	87090	183796
1286	87157	183728
1287	87222	183654
1288	87289	183585
1289	87355	183513
1290	87418	183435
1291	87482	183361
1292	87547	183288
1293	87613	183216
1294	87678	183143
1295	87741	183065
